F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-165880,-231744,-932832,-2832,13640,-290304,-1472,-1465344,-2848,-1391528,-252560,-1307416,-1604688,-303264,0,0,,407456
-176256,-279456,-699624,-2704,-46376,-355104,-1376,-290304,-2544,-1422280,-277160,-1095600,-1239264,-277992,0,0,,407456
-225792,-308424,-625680,-2656,-130944,-425088,-1464,-255744,-2864,-1622168,-364080,-1102904,-1191600,-363728,0,0,,407456
-232704,-264120,-733752,-2752,-130944,-414720,-1400,-1050624,-2704,-1591416,-390816,-1132120,-1564968,-357632,0,0,,407456
-216576,-264120,-750816,-2768,-129408,-409536,-1328,-974592,-2496,-1568352,-382536,-1110208,-1549080,-306832,0,0,,407456
-195840,-286272,-767880,-2752,-99752,-383616,-4248,-559872,-2864,-1599104,-346104,-1059080,-1247208,-314960,0,0,,407456
-167040,-269232,-798624,-2720,-56616,-342144,-3960,-642816,-2656,-1514536,-306360,-1080992,-1366368,-296672,0,0,,407456
-183168,-260712,-792960,-2752,-94360,-365472,-4272,-1175040,-2848,-1529912,-331200,-1219768,-1631800,-357632,0,0,,407456
-196992,-265824,-804288,-2784,-110536,-388800,-4176,-1479168,-2736,-1468408,-336168,-1205160,-1456680,-343408,0,0,,407456
-193536,-257304,-787296,-2720,-91664,-352512,-4008,-646464,-2592,-1453032,-321264,-1088296,-1273600,-288544,0,0,,407456
-217728,-238560,-770304,-2688,-99752,-331776,-4296,-366912,-2912,-1768240,-351072,-1146728,-1480560,-331216,0,0,,407456
-193536,-224928,-832608,-2768,-43136,-213200,-3936,-792064,-2528,-1898936,-319608,-1205160,-1520360,-308864,0,0,,407456
-141696,-235152,-747648,-2800,5392,-190240,-4296,-693056,-2768,-1798992,-255024,-1132120,-1257680,-327152,0,0,,407456
-171648,-1254240,-668352,-2576,-70096,-193520,-4296,-786240,-2800,-1875872,-289800,-1110208,-1297480,-325120,0,0,,407456
