T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-194.0,-152.0,-121.25,-173.0,-217.0
0.75,-52.25,-31.5,-7.75,-3.0
-174.5,-79.25,-58.5,-148.75,-192.75
-19.75,-58.75,-44.0,-26.25,-26.0
-165.5,-72.25,-46.0,-135.75,-185.5
-19.0,-69.5,-37.25,-21.25,-25.0
-177.75,-123.25,-88.0,-149.25,-202.5
6.0,19.75,29.0,5.0,-2.0
-196.25,-126.0,-103.25,-167.75,-219.25
14.5,-0.5,15.5,11.75,10.0
-189.25,-133.0,-98.25,-159.75,-208.25
-5.0,-48.25,-29.25,-6.75,-6.25
-164.0,-46.75,-33.5,-133.0,-182.0
-15.25,-43.5,-32.25,-18.0,-18.5
-156.5,-66.5,-48.0,-129.5,-173.25
-1.0,-23.25,-12.25,-7.25,-6.0
-176.5,-98.25,-85.75,-152.5,-197.0
17.25,50.75,44.75,10.0,14.75
-192.0,-124.0,-106.25,-167.75,-215.5
13.75,-18.0,0.5,10.75,9.5
-181.25,-113.75,-81.5,-151.5,-200.0
-11.75,-55.25,-40.5,-11.75,-16.25
-166.5,-49.5,-38.5,-131.5,-182.5
-25.0,-62.5,-47.0,-24.25,-24.5
-173.25,-102.75,-80.0,-141.75,-187.0
-9.25,-17.0,-13.75,-8.0,-6.5
-197.25,-122.25,-116.75,-166.0,-210.75
3.5,21.25,11.0,4.75,9.0
-205.0,-146.75,-133.0,-174.25,-218.75
-4.5,-42.5,-36.0,-6.75,-2.5
-188.0,-86.75,-79.75,-158.25,-203.0
-28.25,-47.0,-49.5,-28.5,-29.75
-174.25,-52.25,-48.25,-140.0,-189.75
-32.0,-66.25,-55.75,-30.5,-31.75
-187.75,-122.5,-105.5,-155.75,-199.5
-8.25,-0.25,-6.5,-10.0,-2.75
-205.5,-131.5,-128.25,-176.75,-218.25
3.0,4.25,7.0,6.0,9.25
-197.25,-139.5,-110.25,-163.75,-212.25
-6.25,-46.0,-29.25,-4.5,-6.25
-175.5,-60.25,-46.5,-141.75,-189.75
-21.75,-48.0,-40.25,-24.5,-23.75
-165.25,-66.0,-46.75,-134.25,-180.25
-18.5,-47.25,-25.0,-17.0,-17.25
-184.5,-113.5,-88.25,-152.75,-200.5
5.5,37.0,39.5,8.0,6.75
-202.0,-120.5,-100.75,-169.75,-216.75
8.5,-1.5,9.0,7.75,11.75
-188.5,-113.5,-93.75,-157.75,-203.0
-12.25,-42.0,-39.75,-13.75,-9.75
-166.0,-37.0,-40.0,-138.0,-181.5
-18.0,-44.75,-44.25,-24.0,-23.75
-162.0,-80.25,-65.0,-135.0,-181.5
-2.75,-20.5,-14.25,-8.0,-8.0
-184.5,-109.25,-102.75,-156.75,-205.5
13.25,43.75,32.25,13.0,13.25
-195.75,-126.0,-113.25,-167.0,-215.5
