F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
10.25,52.5,-40.0,10.25,48.25,-14.25,24.0,-2.75,19.5,-52.75,-10.5,-9.25
-30.0,-27.75,-108.25,13.5,-23.5,-170.5,-14.0,-155.0,-24.0,-65.5,-140.75,-184.25
-16.25,33.25,-89.5,-2.5,31.75,-40.75,-9.0,-26.5,3.25,-112.5,-39.75,-42.75
26.0,24.0,-21.75,60.75,31.0,-135.25,45.0,-134.25,25.75,13.5,-110.0,-146.0
-108.25,-70.0,-120.75,-98.5,-73.5,-75.0,-86.5,-47.75,-94.75,-141.75,-78.75,-77.25
-14.25,-18.5,-34.25,11.25,-14.0,-129.75,14.0,-139.25,-13.0,-13.5,-103.5,-139.0
-53.0,3.5,-124.25,-45.25,2.5,-62.5,-40.5,-33.25,-29.5,-138.75,-63.0,-65.5
-20.25,-14.5,-82.75,20.25,-10.25,-158.75,1.0,-162.0,-5.25,-65.75,-131.0,-175.5
21.5,72.25,-34.5,21.0,71.75,-24.0,41.75,-7.25,43.5,-39.0,-22.0,-24.0
-99.75,-99.75,-112.0,-71.25,-94.5,-180.0,-70.75,-169.0,-98.5,-82.25,-156.25,-197.0
-48.0,-6.0,-64.25,-27.25,-18.25,-16.5,-25.75,-9.75,-20.5,-89.5,-19.0,-16.0
-33.25,-35.5,-97.0,7.75,-46.0,-161.0,-10.75,-149.5,-12.0,-56.5,-138.5,-175.5
-22.75,26.75,-99.25,-4.25,12.0,-49.75,-23.25,-34.75,11.25,-124.25,-53.0,-54.25
66.0,64.0,-3.5,111.25,65.25,-126.75,60.25,-132.75,76.25,28.5,-99.25,-140.25
-92.0,-53.5,-132.25,-91.75,-51.5,-78.75,-101.0,-48.0,-81.75,-152.25,-81.0,-84.75
-38.0,-45.0,-57.25,-16.25,-35.5,-138.25,-41.5,-146.5,-39.5,-44.5,-111.0,-147.75
-77.25,-25.0,-100.75,-81.5,-33.75,-52.5,-59.75,-25.25,-51.0,-118.25,-51.0,-52.0
-79.0,-99.25,-87.0,-58.0,-107.75,-170.75,-44.0,-165.75,-67.75,-63.25,-141.75,-182.75
20.5,31.25,-18.25,12.75,22.75,-20.75,28.0,-2.75,38.0,-26.25,-14.25,-13.5
-80.0,-117.5,-106.0,-60.75,-111.25,-183.75,-79.75,-166.5,-83.0,-77.0,-153.5,-197.5
-56.25,-40.5,-75.25,-61.5,-38.75,-37.25,-59.75,-20.75,-46.75,-105.25,-31.5,-31.25
-52.0,-83.0,-67.25,-36.0,-75.5,-163.5,-55.25,-149.5,-51.75,-40.75,-134.75,-174.5
-83.0,-77.75,-107.5,-118.0,-68.75,-68.75,-87.75,-46.5,-75.5,-134.0,-71.5,-76.0
51.75,1.0,-10.0,25.25,26.75,-133.25,52.0,-136.25,35.5,28.25,-106.0,-144.0
-53.0,-58.75,-126.5,-94.25,-37.75,-77.25,-73.25,-44.0,-48.5,-147.0,-81.0,-81.5
4.25,-35.25,-55.5,-2.5,-16.25,-142.75,-2.25,-150.75,0.5,-36.25,-117.75,-155.0
-30.0,14.5,-56.5,-36.5,17.75,-43.5,-11.75,-18.75,-5.75,-74.25,-40.5,-39.75
-79.5,-77.0,-76.25,-44.75,-79.25,-178.0,-51.0,-171.75,-65.5,-60.5,-149.75,-192.5
37.25,84.75,-21.5,35.75,69.75,-18.0,45.75,-7.75,63.25,-25.0,-15.0,-15.0
-25.25,-16.0,-110.75,-1.25,-18.75,-184.0,-16.75,-167.25,-9.25,-66.5,-155.0,-197.75
-16.0,40.0,-83.25,-5.0,28.0,-43.75,-10.25,-29.75,19.25,-107.25,-41.25,-42.75
6.25,11.75,-32.5,32.0,2.75,-147.0,18.75,-143.0,18.5,6.0,-119.5,-158.0
-93.0,-49.0,-106.5,-90.0,-57.75,-71.75,-73.5,-47.5,-72.25,-134.25,-72.5,-75.0
26.0,18.5,-8.75,72.25,21.0,-122.25,51.5,-132.0,40.25,8.25,-94.5,-130.0
-27.75,19.0,-120.5,-13.0,10.5,-62.5,-21.0,-31.75,4.25,-132.75,-65.0,-62.25
0.75,0.0,-70.0,57.5,1.0,-149.5,12.0,-152.75,20.5,-48.75,-122.5,-160.0
18.75,62.0,-37.25,33.25,59.25,-28.75,25.5,-7.25,49.75,-46.0,-25.25,-24.75
-69.25,-75.25,-94.5,-46.25,-78.0,-179.25,-58.25,-166.75,-64.5,-63.75,-151.75,-193.5
