T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-315.5,-219.0,-243.75,-230.0,-201.25
137.25,75.5,70.75,61.5,3.0
-313.0,-228.0,-246.0,-224.5,-194.5
113.75,19.0,17.75,39.0,-22.75
-292.25,-146.5,-176.5,-196.0,-169.25
108.5,27.75,34.0,37.0,-28.5
-284.75,-180.5,-194.25,-190.5,-165.5
124.0,51.5,52.0,50.75,-14.0
-310.25,-239.25,-267.25,-223.25,-197.5
134.75,83.0,62.0,57.75,-5.5
-328.0,-270.25,-289.5,-240.0,-216.0
124.25,24.75,28.0,48.25,-15.75
-313.5,-217.5,-249.25,-225.0,-198.0
105.0,13.5,-8.25,30.75,-35.0
-290.0,-154.25,-199.5,-196.0,-172.25
109.0,16.75,14.0,37.25,-29.75
-289.25,-197.5,-216.5,-192.5,-172.75
134.5,93.25,85.5,63.75,-6.75
-302.25,-196.75,-227.75,-213.0,-191.75
159.25,141.25,124.5,84.75,15.5
-296.25,-196.0,-210.5,-210.0,-187.0
151.0,88.5,94.5,75.0,10.75
-275.25,-115.75,-143.5,-184.0,-157.5
130.0,81.0,74.5,53.0,-11.75
-264.75,-104.0,-124.0,-171.25,-149.75
134.75,79.5,102.5,62.75,-10.0
-280.0,-164.25,-162.25,-186.75,-167.75
149.0,142.25,149.25,79.5,12.0
-301.75,-186.0,-191.25,-208.5,-186.0
156.0,121.0,141.25,85.5,19.25
-294.75,-197.5,-182.75,-203.0,-179.0
146.5,80.75,108.5,75.75,6.25
-266.0,-92.25,-101.25,-170.25,-147.75
131.25,76.75,92.0,56.0,-7.25
-267.0,-128.25,-135.5,-173.75,-147.25
130.5,74.25,91.75,58.75,-6.25
-296.75,-198.25,-209.0,-207.0,-181.5
147.75,135.0,126.0,72.0,5.75
-306.5,-209.75,-219.25,-221.5,-197.75
149.5,79.0,97.75,71.25,9.5
-298.0,-204.0,-203.5,-208.0,-181.25
124.75,35.75,48.25,52.25,-15.25
-284.25,-142.75,-162.75,-189.25,-165.75
108.75,18.25,33.75,34.75,-32.25
-288.5,-192.25,-195.0,-196.75,-172.5
122.5,60.25,68.0,51.0,-14.0
-315.0,-228.75,-251.25,-222.75,-198.0
138.75,103.75,89.0,65.0,0.75
-321.0,-249.75,-264.5,-231.75,-206.25
129.5,33.0,42.5,54.25,-8.25
-302.25,-200.75,-218.0,-213.5,-186.75
109.75,16.25,14.0,34.75,-31.75
-289.5,-158.5,-189.5,-196.75,-173.25
104.0,9.25,16.75,31.75,-36.25
-303.0,-216.25,-231.0,-206.25,-185.75
120.5,75.0,63.75,51.75,-16.0
