T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-202.0,-42.75,-151.25,-188.5,-244.0
28.75,-30.5,43.25,15.75,29.0
-215.25,-127.75,-226.25,-210.0,-256.25
35.25,-20.0,57.25,22.0,42.5
-251.0,-167.25,-281.75,-248.75,-290.75
52.75,37.0,89.25,41.5,57.75
-263.0,-195.25,-300.5,-256.25,-305.75
44.75,-36.75,39.25,34.0,52.5
-237.5,-141.75,-238.75,-227.0,-274.0
22.75,-43.25,37.75,18.25,30.0
-216.5,-79.5,-185.25,-203.0,-250.75
17.75,-64.0,18.75,11.0,24.0
-235.0,-165.5,-254.75,-219.75,-271.75
29.75,-8.0,73.75,25.75,42.75
-266.5,-185.25,-280.0,-259.75,-304.5
46.0,9.5,85.0,35.0,53.25
-263.75,-212.75,-309.25,-264.25,-305.75
32.25,-70.5,4.25,13.25,34.75
-245.75,-141.5,-252.0,-238.5,-284.0
-1.0,-85.25,-15.75,-12.25,6.5
-232.0,-135.25,-241.0,-222.25,-265.5
15.0,-81.25,3.5,9.25,22.0
-235.0,-174.75,-271.25,-224.5,-275.0
55.0,34.25,105.0,46.0,60.75
-252.5,-164.5,-260.5,-243.75,-294.25
65.5,21.0,106.25,60.5,74.5
-231.5,-152.0,-236.75,-220.5,-270.0
55.25,-9.0,78.5,49.5,61.5
-199.0,-42.75,-145.25,-187.0,-233.75
40.25,-13.0,62.5,26.5,44.5
-196.75,-88.75,-192.0,-191.0,-234.25
53.75,-3.75,73.0,40.75,59.0
-214.25,-123.25,-228.75,-210.75,-260.75
85.75,100.5,163.5,77.25,89.25
-228.5,-121.25,-219.5,-216.75,-271.25
84.5,45.75,128.5,80.75,86.0
-210.5,-92.25,-186.75,-196.25,-255.0
53.0,11.5,86.0,47.5,52.75
-195.5,-27.5,-137.5,-183.0,-237.75
34.5,-16.25,60.0,24.5,34.5
-210.25,-106.75,-206.75,-200.5,-250.5
48.75,25.25,104.5,42.5,52.0
-240.0,-133.25,-237.0,-231.5,-288.75
70.0,65.0,128.5,60.75,67.5
-247.0,-174.75,-272.0,-240.5,-298.25
54.5,-27.0,51.75,41.75,50.75
-225.0,-116.75,-218.5,-219.0,-272.25
29.25,-33.25,46.5,17.75,24.0
-206.75,-73.0,-172.75,-197.0,-251.0
30.25,-46.25,40.5,20.25,29.5
-223.5,-147.25,-237.75,-214.25,-267.0
47.5,26.25,103.5,40.0,54.75
-256.25,-168.75,-267.25,-250.5,-300.5
58.5,14.75,90.0,43.25,57.25
-250.75,-199.25,-291.75,-254.5,-299.75
43.25,-56.75,21.75,20.75,40.0
-217.25,-101.75,-210.0,-220.25,-263.75
27.5,-45.25,29.75,6.5,25.75
-206.0,-100.25,-198.5,-202.0,-245.25
37.5,-41.5,47.5,24.5,39.5
-227.25,-154.5,-244.75,-221.5,-271.5
65.0,55.0,130.75,55.5,68.5
-244.75,-159.0,-252.25,-240.75,-293.0
69.25,12.25,93.5,51.5,67.75
-230.75,-151.75,-248.75,-233.0,-277.75
47.25,-23.75,45.0,26.75,42.5
-206.0,-63.5,-182.75,-207.0,-252.25
29.25,-43.0,24.0,10.75,24.75
-207.5,-123.5,-227.5,-204.25,-254.5
42.75,-21.5,50.5,24.25,40.25
-239.0,-148.25,-266.0,-240.25,-286.75
62.0,72.0,118.75,48.0,64.75
-256.0,-164.75,-282.0,-254.75,-301.75
55.75,-9.5,54.75,41.75,56.0
-229.5,-131.75,-238.0,-224.0,-277.0
31.5,-38.5,29.5,16.25,26.5
-211.5,-72.0,-188.75,-205.75,-255.75
20.75,-52.25,18.75,6.25,17.75
-224.0,-143.25,-248.25,-219.75,-270.25
45.25,13.25,82.75,30.75,42.75
-247.5,-151.25,-259.25,-246.5,-300.0
62.5,47.0,110.0,48.25,59.5
-253.5,-179.5,-281.5,-250.0,-302.0
46.75,-22.5,46.75,34.0,45.75
-228.5,-91.5,-209.75,-220.25,-271.25
19.5,-29.5,33.25,10.0,20.0
-215.5,-87.75,-198.5,-205.5,-257.0
19.0,-62.0,17.25,7.5,19.25
-242.25,-172.75,-267.75,-233.0,-283.75
35.25,19.75,92.5,30.5,44.25
-268.25,-173.25,-278.25,-260.0,-309.75
49.75,13.75,83.25,42.25,55.75
-255.75,-182.5,-279.25,-246.75,-296.5
36.25,-42.5,32.5,24.0,38.25
-221.5,-81.75,-192.25,-213.0,-260.75
18.75,-41.0,33.75,8.25,21.5
-210.25,-102.0,-204.25,-203.0,-251.0
38.0,-21.0,57.25,28.0,39.75
-232.25,-138.25,-241.25,-223.0,-275.25
64.0,70.5,135.0,54.25,68.5
-250.0,-157.5,-255.75,-245.25,-294.75
56.25,3.5,88.0,48.5,63.25
-245.0,-149.0,-240.25,-234.5,-283.5
29.75,-26.75,46.5,20.0,31.75
-214.0,-56.0,-171.5,-206.0,-254.25
25.25,-37.5,34.5,7.0,23.0
-210.25,-121.5,-221.0,-211.0,-253.75
44.75,3.75,82.75,31.0,51.5
-241.75,-135.0,-241.0,-237.0,-282.0
67.0,82.5,139.75,53.5,73.0
-248.75,-147.25,-254.75,-246.5,-289.5
58.0,6.5,76.25,42.5,63.0
-226.75,-99.25,-208.0,-223.75,-267.25
27.5,-14.0,52.0,14.0,30.5
-211.5,-53.0,-170.5,-202.75,-251.5
24.25,-32.5,40.5,13.25,24.5
-222.0,-125.25,-227.0,-210.0,-261.75
50.75,47.0,114.0,46.5,60.25
-247.75,-133.25,-240.75,-237.25,-285.25
65.0,62.25,131.0,60.25,78.25
-251.25,-158.25,-254.75,-240.75,-286.0
40.75,-18.25,60.5,33.25,51.0
-228.0,-79.0,-186.0,-214.75,-262.5
